Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,weight,weight_Symptom_2,weight_Symptom_3,weight_Symptom_4,weight_Symptom_5,weight_Symptom_6,weight_Symptom_7,weight_Symptom_8,weight_Symptom_9,weight_Symptom_10,weight_Symptom_11,weight_Symptom_12,weight_Symptom_13,weight_Symptom_14,weight_Symptom_15,weight_Symptom_16,weight_Symptom_17,Total_Severity,Disease_Encoded
fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,,3.0,5,4,4,4,4,2,6,6,7,7,5,2,67.0,15
fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,4.0,,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,73.0,15
fungal infection,itching,nodal_skin_eruptions,dischromic _patches,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,71.0,15
fungal infection,itching,skin_rash,dischromic _patches,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,70.0,15
fungal infection,itching,skin_rash,nodal_skin_eruptions,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,74.0,15
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,5.0,3.0,4.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,75.0,4
allergy,shivering,chills,watering_from_eyes,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,4
allergy,continuous_sneezing,chills,watering_from_eyes,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,4.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,4
allergy,continuous_sneezing,shivering,watering_from_eyes,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,5.0,4.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,4
allergy,continuous_sneezing,shivering,chills,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,5.0,3.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,4
